region,date,new_case,total_case
Mauricie - Centre du Québec,2020-04-03,46,364
Estrie,2020-04-03,46,450
Montréal,2020-04-03,195,2837
Outaouais,2020-04-03,6,81
Abitibi-Temiscamingue,2020-04-03,11,58
Côte-Nord,2020-04-03,5,47
Nord-du-Québec,2020-04-03,1,2
Gaspésie-Îles-de-la-Madeleine,2020-04-03,3,41
Chaudière-Appalaches,2020-04-03,3,136
Laval,2020-04-03,65,476
Lanaudière,2020-04-03,49,354
Laurentides,2020-04-03,29,319
Montérégie,2020-04-03,97,583
Nunavik,2020-04-03,0,2
Terres-Cries-de-la-Baie-James,2020-04-03,0,3
Bas-Saint-Laurent,2020-04-04,3,27
Saguenay-Lac-Saint-Jean,2020-04-04,11,55
Capitale Nationale,2020-04-04,29,309
Mauricie - Centre du Québec,2020-04-04,67,431
Estrie,2020-04-04,49,499
Montréal,2020-04-04,424,3261
Outaouais,2020-04-04,4,85
Abitibi-Temiscamingue,2020-04-04,18,76
Côte-Nord,2020-04-04,2,49
Nord-du-Québec,2020-04-04,0,2
Gaspésie-Îles-de-la-Madeleine,2020-04-04,2,43
Chaudière-Appalaches,2020-04-04,3,139
Laval,2020-04-04,93,569
Lanaudière,2020-04-04,39,393
Laurentides,2020-04-04,52,371
Montérégie,2020-04-04,100,683
Nunavik,2020-04-04,0,2
Terres-Cries-de-la-Baie-James,2020-04-04,0,3
Bas-Saint-Laurent,2020-04-05,0,27
Saguenay-Lac-Saint-Jean,2020-04-05,24,79
Capitale Nationale,2020-04-05,36,345
Mauricie - Centre du Québec,2020-04-05,63,494
Estrie,2020-04-05,19,518
Montréal,2020-04-05,452,3713
Outaouais,2020-04-05,24,109
Abitibi-Temiscamingue,2020-04-05,7,83
Côte-Nord,2020-04-05,9,58
Nord-du-Québec,2020-04-05,0,2
Gaspésie-Îles-de-la-Madeleine,2020-04-05,11,54
Chaudière-Appalaches,2020-04-05,17,156
Laval,2020-04-05,71,640
Lanaudière,2020-04-05,53,446
Laurentides,2020-04-05,37,408
Montérégie,2020-04-05,123,806
Nunavik,2020-04-05,0,2
Terres-Cries-de-la-Baie-James,2020-04-05,1,4
Bas-Saint-Laurent,2020-04-06,2,29
Saguenay-Lac-Saint-Jean,2020-04-06,14,93
Capitale Nationale,2020-04-06,12,357
Mauricie - Centre du Québec,2020-04-06,55,549
Estrie,2020-04-06,30,548
Montréal,2020-04-06,264,3977
Outaouais,2020-04-06,8,117
Abitibi-Temiscamingue,2020-04-06,18,101
Côte-Nord,2020-04-06,10,68
Nord-du-Québec,2020-04-06,0,2
Gaspésie-Îles-de-la-Madeleine,2020-04-06,8,62
Chaudière-Appalaches,2020-04-06,2,158
Laval,2020-04-06,72,712
Lanaudière,2020-04-06,45,491
Laurentides,2020-04-06,5,413
Montérégie,2020-04-06,88,894
Nunavik,2020-04-06,3,5
Terres-Cries-de-la-Baie-James,2020-04-06,0,4
